student_id,attendance_rate,unsigned_assessments,missing_competencies,actual_time_on_task,expected_time_on_task,actually_incomplete
S-1389,76.2,0,0,84.9,78.2,0
S-1390,72.5,2,1,55.2,52.5,0
S-1391,40.5,0,0,43.3,52.4,1
S-1392,65.9,3,0,27.1,69.7,1
S-1393,83.4,0,1,93.8,76.9,0
S-1394,79.7,0,1,88.0,74.5,0
S-1395,81.0,4,2,34.7,39.4,1
S-1396,58.2,0,0,43.5,44.5,0
S-1397,95.0,1,0,67.7,71.8,0
S-1398,88.2,1,1,99.1,86.3,0
S-1399,54.5,0,1,39.0,65.7,1
