part_id,week,weekly_consumption
P-2005,6,9.8
P-2005,7,9.1
P-2005,8,7.7
P-2005,9,9.2
P-2005,10,9.7
P-2005,11,8.5
P-2005,12,7.0
P-2005,13,8.0
P-2005,14,10.8
P-2005,15,8.6
P-2005,16,4.6
P-2005,17,6.8
P-2005,18,8.0
P-2005,19,9.7
P-2005,20,8.0
P-2005,21,9.6
P-2005,22,7.7
P-2005,23,6.0
P-2005,24,8.0
P-2005,25,9.2
P-2006,0,8.4
P-2006,1,8.4
P-2006,2,9.3
P-2006,3,7.1
P-2006,4,7.6
P-2006,5,5.7
P-2006,6,8.4
P-2006,7,5.6
P-2006,8,6.9
P-2006,9,5.6
P-2006,10,6.2
P-2006,11,6.2
P-2006,12,6.8
P-2006,13,7.2
P-2006,14,7.5
P-2006,15,9.0
P-2006,16,7.1
P-2006,17,8.2
P-2006,18,9.0
P-2006,19,7.2
P-2006,20,6.8
P-2006,21,7.3
P-2006,22,8.8
P-2006,23,8.1
P-2006,24,7.8
P-2006,25,9.1
P-2007,0,16.5
P-2007,1,19.2
P-2007,2,18.8
P-2007,3,19.0
P-2007,4,21.5
P-2007,5,19.5
P-2007,6,17.0
P-2007,7,13.9
P-2007,8,14.9
P-2007,9,15.9
P-2007,10,18.9
P-2007,11,16.8
P-2007,12,15.5
P-2007,13,15.6
P-2007,14,17.6
P-2007,15,20.1
P-2007,16,21.9
P-2007,17,16.9
P-2007,18,17.0
P-2007,19,13.6
P-2007,20,21.6
P-2007,21,12.7
P-2007,22,19.5
P-2007,23,15.7
P-2007,24,15.4
P-2007,25,14.4
P-2008,0,14.8
P-2008,1,23.2
P-2008,2,11.9
P-2008,3,20.1
P-2008,4,15.6
P-2008,5,15.9
P-2008,6,13.8
P-2008,7,11.7
P-2008,8,10.4
P-2008,9,12.0
P-2008,10,8.5
P-2008,11,14.3
P-2008,12,13.2
P-2008,13,13.2
P-2008,14,15.6
P-2008,15,19.5
P-2008,16,15.5
P-2008,17,16.4
P-2008,18,12.8
P-2008,19,14.5
P-2008,20,13.4
P-2008,21,15.5
P-2008,22,11.7
P-2008,23,14.4
P-2008,24,14.7
P-2008,25,18.5
P-2009,0,21.3
P-2009,1,20.9
P-2009,2,22.8
P-2009,3,16.5
P-2009,4,17.2
P-2009,5,23.7
P-2009,6,20.7
P-2009,7,20.8
P-2009,8,15.9
P-2009,9,15.7
P-2009,10,21.7
P-2009,11,22.2
P-2009,12,16.4
P-2009,13,16.3
P-2009,14,20.1
P-2009,15,18.2
P-2009,16,18.0
P-2009,17,16.3
P-2009,18,18.1
P-2009,19,15.5
P-2009,20,15.3
P-2009,21,19.3
P-2009,22,18.3
P-2009,23,20.3
P-2009,24,14.5
P-2009,25,19.9
P-2010,0,13.7
P-2010,1,16.9
P-2010,2,13.0
P-2010,3,18.6
P-2010,4,16.7
P-2010,5,13.7
P-2010,6,15.2
P-2010,7,9.8
P-2010,8,9.6
P-2010,9,9.7
P-2010,10,10.2
P-2010,11,10.1
P-2010,12,15.6
P-2010,13,13.9
P-2010,14,16.0
P-2010,15,14.5
P-2010,16,11.9
P-2010,17,15.1
P-2010,18,9.8
P-2010,19,12.3
P-2010,20,9.0
P-2010,21,15.2
P-2010,22,13.4
P-2010,23,12.7
P-2010,24,16.1
P-2010,25,13.2
P-2011,0,22.1
P-2011,1,20.5
P-2011,2,18.9
P-2011,3,22.0
P-2011,4,20.8
P-2011,5,20.0
P-2011,6,18.0
P-2011,7,14.1
P-2011,8,12.9
P-2011,9,15.1
P-2011,10,16.1
P-2011,11,15.0
P-2011,12,19.1
P-2011,13,24.7
P-2011,14,15.8
P-2011,15,22.2
P-2011,16,20.3
P-2011,17,20.7
P-2011,18,17.3
P-2011,19,16.9
P-2011,20,16.8
P-2011,21,15.4
P-2011,22,12.7
P-2011,23,17.0
P-2011,24,15.2
P-2011,25,21.8
P-2012,0,15.1
P-2012,1,19.6
P-2012,2,14.5
P-2012,3,14.5
P-2012,4,16.1
P-2012,5,18.9
P-2012,6,11.8
P-2012,7,7.5
P-2012,8,12.1
P-2012,9,14.1
P-2012,10,15.9
P-2012,11,13.0
P-2012,12,14.3
P-2012,13,19.1
P-2012,14,13.1
P-2012,15,16.8
P-2012,16,17.8
P-2012,17,17.5
P-2012,18,14.1
P-2012,19,14.1
P-2012,20,7.4
P-2012,21,11.2
P-2012,22,14.1
P-2012,23,11.7
P-2012,24,15.3
P-2012,25,17.5
P-2013,0,19.2
P-2013,1,16.5
P-2013,2,19.9
P-2013,3,20.9
P-2013,4,18.8
P-2013,5,17.1
P-2013,6,12.1
P-2013,7,20.7
P-2013,8,18.1
P-2013,9,18.0
P-2013,10,12.6
P-2013,11,21.2
P-2013,12,16.7
P-2013,13,17.7
P-2013,14,16.0
P-2013,15,14.1
P-2013,16,22.1
P-2013,17,21.9
P-2013,18,17.2
P-2013,19,15.2
P-2013,20,15.5
P-2013,21,15.4
P-2013,22,13.1
P-2013,23,16.1
P-2013,24,17.9
P-2013,25,20.9
P-2014,0,7.6
P-2014,1,9.2
P-2014,2,7.9
P-2014,3,11.4
P-2014,4,9.5
P-2014,5,10.3
P-2014,6,6.6
P-2014,7,8.3
P-2014,8,6.4
P-2014,9,5.9
P-2014,10,5.8
P-2014,11,6.1
P-2014,12,8.8
P-2014,13,8.8
P-2014,14,7.3
P-2014,15,8.5
P-2014,16,9.3
P-2014,17,9.0
P-2014,18,7.5
P-2014,19,7.9
P-2014,20,3.6
P-2014,21,5.6
P-2014,22,3.8
P-2014,23,7.4
P-2014,24,7.6
P-2014,25,9.3
P-2015,0,22.5
P-2015,1,18.4
P-2015,2,20.7
P-2015,3,19.8
P-2015,4,24.1
P-2015,5,22.8
P-2015,6,20.0
P-2015,7,14.5
P-2015,8,15.0
P-2015,9,13.8
P-2015,10,10.6
P-2015,11,21.2
P-2015,12,17.8
P-2015,13,18.7
P-2015,14,24.6
P-2015,15,19.4
P-2015,16,18.1
P-2015,17,19.0
P-2015,18,15.5
P-2015,19,18.6
P-2015,20,15.9
P-2015,21,15.2
P-2015,22,15.2
P-2015,23,17.3
P-2015,24,18.9
P-2015,25,18.2
P-2016,0,10.9
P-2016,1,11.8
P-2016,2,9.6
P-2016,3,15.1
P-2016,4,12.4
P-2016,5,12.4
P-2016,6,12.3
P-2016,7,8.1
P-2016,8,9.9
P-2016,9,8.4
P-2016,10,10.5
P-2016,11,6.1
P-2016,12,10.3
P-2016,13,10.3
P-2016,14,12.6
P-2016,15,12.9
P-2016,16,10.6
P-2016,17,9.9
P-2016,18,10.0
P-2016,19,7.8
P-2016,20,10.0
P-2016,21,7.7
P-2016,22,3.7
P-2016,23,8.5
P-2016,24,8.2
P-2016,25,8.1
P-2017,0,15.5
P-2017,1,16.5
P-2017,2,15.3
P-2017,3,15.5
P-2017,4,13.8
P-2017,5,12.0
P-2017,6,17.6
P-2017,7,11.3
P-2017,8,15.8
P-2017,9,10.4
P-2017,10,13.5
P-2017,11,10.6
P-2017,12,15.0
P-2017,13,14.0
P-2017,14,14.6
P-2017,15,16.8
P-2017,16,14.2
P-2017,17,11.5
P-2017,18,15.3
P-2017,19,10.3
P-2017,20,13.2
P-2017,21,13.9
P-2017,22,11.3
P-2017,23,15.2
P-2017,24,14.5
P-2017,25,12.8
P-2018,0,11.7
P-2018,1,13.6
P-2018,2,10.4
P-2018,3,12.3
P-2018,4,14.7
P-2018,5,9.9
P-2018,6,8.1
P-2018,7,7.2
P-2018,8,11.0
P-2018,9,6.9
P-2018,10,9.4
P-2018,11,11.0
P-2018,12,11.0
P-2018,13,11.8
P-2018,14,11.9
P-2018,15,13.6
P-2018,16,10.1
P-2018,17,10.3
P-2018,18,9.8
P-2018,19,11.9
P-2018,20,11.7
P-2018,21,11.0
P-2018,22,12.2
P-2018,23,8.9
P-2018,24,13.8
P-2018,25,14.0
P-2019,0,20.1
P-2019,1,16.3
P-2019,2,20.8
P-2019,3,16.3
P-2019,4,20.6
P-2019,5,15.0
P-2019,6,15.7
P-2019,7,19.1
P-2019,8,19.6
P-2019,9,17.5
P-2019,10,16.1
P-2019,11,11.7
P-2019,12,17.4
P-2019,13,20.1
P-2019,14,18.3
P-2019,15,19.3
P-2019,16,18.7
P-2019,17,17.9
P-2019,18,18.3
P-2019,19,16.8
P-2019,20,20.9
P-2019,21,11.1
P-2019,22,15.7
P-2019,23,15.3
P-2019,24,18.9
P-2019,25,19.2
P-2020,0,3.2
P-2020,1,5.5
P-2020,2,4.0
P-2020,3,5.6
P-2020,4,4.8
P-2020,5,4.7
P-2020,6,3.8
P-2020,7,2.4
P-2020,8,2.3
P-2020,9,1.1
P-2020,10,2.6
P-2020,11,3.2
P-2020,12,4.3
P-2020,13,5.4
P-2020,14,5.8
P-2020,15,5.9
P-2020,16,5.3
P-2020,17,4.8
P-2020,18,4.9
P-2020,19,4.2
P-2020,20,2.9
P-2020,21,2.8
P-2020,22,2.7
P-2020,23,4.4
P-2020,24,5.1
P-2020,25,6.6
P-2021,0,8.8
P-2021,1,10.4
P-2021,2,12.3
P-2021,3,9.1
P-2021,4,9.4
P-2021,5,10.3
P-2021,6,7.8
P-2021,7,8.4
P-2021,8,9.4
P-2021,9,8.9
P-2021,10,10.2
P-2021,11,13.5
P-2021,12,9.6
P-2021,13,8.4
P-2021,14,11.8
P-2021,15,7.3
P-2021,16,7.5
P-2021,17,8.6
P-2021,18,8.9
P-2021,19,8.2
P-2021,20,8.9
P-2021,21,9.3
P-2021,22,10.5
P-2021,23,9.1
P-2021,24,8.3
P-2021,25,10.7
P-2022,0,7.5
P-2022,1,11.6
P-2022,2,11.2
P-2022,3,9.8
P-2022,4,11.1
P-2022,5,8.7
P-2022,6,10.5
P-2022,7,9.5
P-2022,8,8.0
P-2022,9,7.5
P-2022,10,9.7
P-2022,11,8.0
P-2022,12,7.5
P-2022,13,10.7
P-2022,14,13.6
P-2022,15,9.7
P-2022,16,10.3
P-2022,17,10.6
P-2022,18,9.0
P-2022,19,6.7
P-2022,20,8.9
P-2022,21,10.2
P-2022,22,7.6
P-2022,23,6.9
P-2022,24,7.0
P-2022,25,10.4
P-2023,0,21.6
P-2023,1,16.7
P-2023,2,14.8
P-2023,3,14.3
P-2023,4,19.1
P-2023,5,17.6
P-2023,6,17.9
P-2023,7,20.2
P-2023,8,15.0
P-2023,9,20.5
P-2023,10,15.8
P-2023,11,22.6
P-2023,12,18.8
P-2023,13,15.2
P-2023,14,12.5
P-2023,15,19.7
P-2023,16,16.7
P-2023,17,17.3
P-2023,18,19.6
P-2023,19,20.2
P-2023,20,20.8
P-2023,21,14.8
P-2023,22,21.4
P-2023,23,16.5
P-2023,24,12.4
P-2023,25,15.2
P-2024,0,25.0
P-2024,1,23.9
P-2024,2,21.7
P-2024,3,23.2
P-2024,4,24.0
P-2024,5,16.1
P-2024,6,25.0
P-2024,7,19.7
P-2024,8,19.0
P-2024,9,17.0
P-2024,10,16.7
P-2024,11,18.3
P-2024,12,20.8
P-2024,13,30.3
P-2024,14,21.7
P-2024,15,24.2
P-2024,16,24.9
P-2024,17,23.8
P-2024,18,22.9
P-2024,19,18.8
P-2024,20,28.0
P-2024,21,29.1
P-2024,22,16.9
P-2024,23,19.3
P-2024,24,22.1
P-2024,25,19.8
P-2025,0,5.8
P-2025,1,5.5
P-2025,2,7.2
P-2025,3,6.7
P-2025,4,4.9
P-2025,5,7.1
P-2025,6,6.2
P-2025,7,6.9
P-2025,8,5.7
P-2025,9,4.8
P-2025,10,5.5
P-2025,11,6.6
P-2025,12,5.6
P-2025,13,6.3
P-2025,14,6.7
P-2025,15,6.1
P-2025,16,6.4
P-2025,17,7.0
P-2025,18,7.6
P-2025,19,6.6
P-2025,20,6.1
P-2025,21,5.4
P-2025,22,7.1
P-2025,23,6.8
P-2025,24,6.2
P-2025,25,8.0
P-2026,0,25.2
P-2026,1,15.9
P-2026,2,28.3
P-2026,3,26.6
P-2026,4,25.0
P-2026,5,32.0
P-2026,6,21.0
P-2026,7,20.7
P-2026,8,28.2
P-2026,9,17.8
P-2026,10,19.1
P-2026,11,21.4
P-2026,12,26.2
P-2026,13,25.2
P-2026,14,20.9
P-2026,15,23.9
P-2026,16,23.2
P-2026,17,24.1
P-2026,18,24.5
P-2026,19,23.2
P-2026,20,14.4
P-2026,21,24.1
P-2026,22,21.5
P-2026,23,26.5
P-2026,24,24.4
P-2026,25,28.0
P-2027,0,20.2
P-2027,1,22.4
P-2027,2,17.1
P-2027,3,22.9
P-2027,4,24.5
P-2027,5,26.6
P-2027,6,24.4
P-2027,7,21.3
P-2027,8,14.5
P-2027,9,19.4
P-2027,10,17.5
P-2027,11,20.4
P-2027,12,16.7
P-2027,13,20.4
P-2027,14,20.0
P-2027,15,20.1
P-2027,16,19.9
P-2027,17,20.7
P-2027,18,21.4
P-2027,19,12.4
P-2027,20,12.4
P-2027,21,18.4
P-2027,22,19.0
P-2027,23,20.6
P-2027,24,18.5
P-2027,25,21.4
P-2028,0,3.7
P-2028,1,5.1
P-2028,2,5.3
P-2028,3,4.7
P-2028,4,5.0
P-2028,5,4.7
P-2028,6,3.5
P-2028,7,2.8
P-2028,8,2.3
P-2028,9,2.1
P-2028,10,2.4
P-2028,11,2.5
P-2028,12,3.5
P-2028,13,4.1
P-2028,14,6.0
P-2028,15,4.6
P-2028,16,6.1
P-2028,17,5.7
P-2028,18,3.9
P-2028,19,1.8
P-2028,20,2.5
P-2028,21,2.4
P-2028,22,2.2
P-2028,23,3.1
P-2028,24,5.1
P-2028,25,5.5
P-2029,0,10.1
P-2029,1,11.1
P-2029,2,7.9
P-2029,3,13.6
P-2029,4,8.6
P-2029,5,7.8
P-2029,6,10.0
P-2029,7,8.4
P-2029,8,8.0
P-2029,9,9.4
P-2029,10,6.5
P-2029,11,6.5
P-2029,12,8.4
P-2029,13,11.1
P-2029,14,9.1
P-2029,15,12.2
P-2029,16,11.6
P-2029,17,10.0
P-2029,18,9.7
P-2029,19,9.3
P-2029,20,8.9
P-2029,21,8.1
P-2029,22,8.3
P-2029,23,7.4
P-2029,24,6.2
P-2029,25,11.2
P-2030,0,11.9
P-2030,1,17.6
P-2030,2,13.2
P-2030,3,12.1
P-2030,4,14.2
P-2030,5,18.9
P-2030,6,10.6
P-2030,7,12.1
P-2030,8,17.4
P-2030,9,18.1
P-2030,10,14.2
P-2030,11,12.0
P-2030,12,19.3
P-2030,13,18.5
P-2030,14,16.8
P-2030,15,13.8
P-2030,16,15.5
P-2030,17,15.2
P-2030,18,16.1
P-2030,19,18.3
P-2030,20,17.0
P-2030,21,13.0
P-2030,22,18.2
P-2030,23,16.2
P-2030,24,17.3
P-2030,25,19.2
P-2031,0,16.8
P-2031,1,10.7
P-2031,2,10.2
P-2031,3,14.2
P-2031,4,13.8
P-2031,5,13.0
P-2031,6,15.0
P-2031,7,10.8
P-2031,8,12.4
P-2031,9,11.4
P-2031,10,10.5
P-2031,11,12.4
P-2031,12,14.5
P-2031,13,17.4
P-2031,14,14.6
P-2031,15,8.5
P-2031,16,13.3
P-2031,17,13.2
P-2031,18,14.5
P-2031,19,12.6
P-2031,20,14.4
P-2031,21,12.5
P-2031,22,14.9
P-2031,23,11.2
P-2031,24,12.7
P-2031,25,14.4
P-2032,0,5.4
P-2032,1,5.5
P-2032,2,8.6
P-2032,3,7.9
P-2032,4,8.4
P-2032,5,5.3
P-2032,6,6.1
P-2032,7,4.6
P-2032,8,4.9
P-2032,9,4.6
P-2032,10,6.6
P-2032,11,5.3
P-2032,12,7.0
P-2032,13,6.8
P-2032,14,8.6
P-2032,15,5.2
P-2032,16,7.6
P-2032,17,7.3
P-2032,18,5.0
P-2032,19,6.5
P-2032,20,5.7
P-2032,21,5.0
P-2032,22,4.5
P-2032,23,4.8
P-2032,24,7.7
P-2032,25,6.1
P-2033,0,6.6
P-2033,1,6.8
P-2033,2,10.2
P-2033,3,10.1
P-2033,4,10.8
P-2033,5,8.1
P-2033,6,8.6
P-2033,7,7.9
P-2033,8,5.8
P-2033,9,6.1
P-2033,10,6.4
P-2033,11,6.0
P-2033,12,8.7
P-2033,13,11.1
P-2033,14,10.2
P-2033,15,8.9
P-2033,16,9.5
P-2033,17,7.5
P-2033,18,9.8
P-2033,19,8.1
P-2033,20,5.9
P-2033,21,4.6
P-2033,22,5.7
P-2033,23,6.8
P-2033,24,8.8
P-2033,25,9.9
P-2034,0,10.0
P-2034,1,12.5
P-2034,2,12.7
P-2034,3,14.1
P-2034,4,12.3
P-2034,5,11.8
P-2034,6,9.2
P-2034,7,9.4
P-2034,8,7.3
P-2034,9,6.5
P-2034,10,9.1
P-2034,11,10.0
P-2034,12,12.3
P-2034,13,11.8
P-2034,14,14.2
P-2034,15,14.8
P-2034,16,14.3
P-2034,17,11.4
P-2034,18,11.6
P-2034,19,10.6
P-2034,20,9.1
P-2034,21,5.5
P-2034,22,9.5
P-2034,23,13.8
P-2034,24,11.1
P-2034,25,11.9
P-2035,0,20.1
P-2035,1,21.8
P-2035,2,24.6
P-2035,3,23.4
P-2035,4,23.6
P-2035,5,19.7
P-2035,6,22.1
P-2035,7,18.5
P-2035,8,23.2
P-2035,9,24.1
P-2035,10,22.4
P-2035,11,19.8
P-2035,12,20.6
P-2035,13,27.0
P-2035,14,20.6
P-2035,15,25.0
P-2035,16,22.8
P-2035,17,20.7
P-2035,18,17.4
P-2035,19,22.1
P-2035,20,21.6
P-2035,21,26.9
P-2035,22,18.8
P-2035,23,28.7
P-2035,24,23.1
P-2035,25,23.4
P-2036,0,21.7
P-2036,1,22.4
P-2036,2,22.8
P-2036,3,19.9
P-2036,4,18.8
P-2036,5,20.3
P-2036,6,20.7
P-2036,7,16.2
P-2036,8,18.8
P-2036,9,19.5
P-2036,10,13.3
P-2036,11,14.4
P-2036,12,17.5
P-2036,13,19.9
P-2036,14,18.5
P-2036,15,24.0
P-2036,16,21.1
P-2036,17,19.1
P-2036,18,13.7
P-2036,19,12.8
P-2036,20,16.2
P-2036,21,9.2
P-2036,22,18.1
P-2036,23,15.8
P-2036,24,26.4
P-2036,25,25.0
P-2037,0,5.3
P-2037,1,5.2
P-2037,2,4.8
P-2037,3,7.5
P-2037,4,7.2
P-2037,5,5.6
P-2037,6,6.0
P-2037,7,5.0
P-2037,8,4.4
P-2037,9,6.6
P-2037,10,4.0
P-2037,11,5.4
P-2037,12,6.2
P-2037,13,7.9
P-2037,14,7.6
P-2037,15,5.8
P-2037,16,7.1
P-2037,17,6.9
P-2037,18,6.4
P-2037,19,6.8
P-2037,20,5.0
P-2037,21,5.7
P-2037,22,6.6
P-2037,23,7.1
P-2037,24,7.2
P-2037,25,7.3
P-2038,0,15.7
P-2038,1,24.2
P-2038,2,28.7
P-2038,3,18.6
P-2038,4,21.6
P-2038,5,24.7
P-2038,6,27.8
P-2038,7,21.7
P-2038,8,20.7
P-2038,9,16.2
P-2038,10,23.5
P-2038,11,30.4
P-2038,12,24.4
P-2038,13,23.5
P-2038,14,24.9
P-2038,15,23.8
P-2038,16,20.9
P-2038,17,26.5
P-2038,18,24.3
P-2038,19,23.4
P-2038,20,19.8
P-2038,21,27.7
P-2038,22,25.5
P-2038,23,21.4
P-2038,24,27.0
P-2038,25,21.9
P-2039,0,2.1
P-2039,1,2.0
P-2039,2,2.4
P-2039,3,2.2
P-2039,4,2.9
P-2039,5,2.2
P-2039,6,1.9
P-2039,7,1.9
P-2039,8,1.1
P-2039,9,1.1
P-2039,10,1.0
P-2039,11,1.2
P-2039,12,1.6
P-2039,13,2.1
P-2039,14,2.4
P-2039,15,2.7
P-2039,16,2.2
P-2039,17,2.3
P-2039,18,2.0
P-2039,19,1.3
P-2039,20,0.9
P-2039,21,1.1
P-2039,22,1.1
P-2039,23,1.5
P-2039,24,2.2
P-2039,25,2.1
P-2040,0,22.9
P-2040,1,25.5
P-2040,2,22.3
P-2040,3,22.6
P-2040,4,21.0
P-2040,5,19.4
P-2040,6,19.6
P-2040,7,23.3
P-2040,8,18.8
P-2040,9,23.5
P-2040,10,22.2
P-2040,11,16.1
P-2040,12,26.6
P-2040,13,28.5
P-2040,14,23.1
P-2040,15,28.5
P-2040,16,23.7
P-2040,17,26.2
P-2040,18,20.3
P-2040,19,17.2
P-2040,20,21.4
P-2040,21,22.0
P-2040,22,21.5
P-2040,23,19.7
P-2040,24,23.7
P-2040,25,27.4
P-2041,0,29.0
P-2041,1,20.3
P-2041,2,25.2
P-2041,3,25.7
P-2041,4,27.6
P-2041,5,28.9
P-2041,6,20.0
P-2041,7,19.3
P-2041,8,17.4
P-2041,9,27.1
P-2041,10,23.6
P-2041,11,19.4
P-2041,12,22.9
P-2041,13,30.1
P-2041,14,25.6
P-2041,15,25.6
P-2041,16,23.7
P-2041,17,21.9
P-2041,18,28.9
P-2041,19,29.6
P-2041,20,18.9
P-2041,21,27.4
P-2041,22,20.8
P-2041,23,25.4
P-2041,24,29.8
P-2041,25,25.2
P-2042,0,7.3
P-2042,1,6.4
P-2042,2,8.0
P-2042,3,8.5
P-2042,4,7.0
P-2042,5,7.8
P-2042,6,5.3
P-2042,7,4.4
P-2042,8,3.1
P-2042,9,2.4
P-2042,10,3.5
P-2042,11,4.2
P-2042,12,5.4
P-2042,13,6.3
P-2042,14,8.2
P-2042,15,9.8
P-2042,16,8.0
P-2042,17,7.8
P-2042,18,4.2
P-2042,19,4.3
P-2042,20,2.1
P-2042,21,1.4
P-2042,22,2.4
P-2042,23,5.1
P-2042,24,6.2
P-2042,25,6.8
P-2043,0,3.5
P-2043,1,3.4
P-2043,2,4.2
P-2043,3,4.9
P-2043,4,4.4
P-2043,5,3.7
P-2043,6,2.8
P-2043,7,1.0
P-2043,8,2.1
P-2043,9,1.5
P-2043,10,2.5
P-2043,11,2.4
P-2043,12,2.7
P-2043,13,4.1
P-2043,14,4.7
P-2043,15,4.2
P-2043,16,4.6
P-2043,17,3.3
P-2043,18,2.9
P-2043,19,2.4
P-2043,20,2.0
P-2043,21,1.7
P-2043,22,1.4
P-2043,23,2.6
P-2043,24,2.7
P-2043,25,3.2
P-2044,0,21.0
P-2044,1,14.9
P-2044,2,21.0
P-2044,3,17.8
P-2044,4,15.8
P-2044,5,19.2
P-2044,6,20.2
P-2044,7,14.2
P-2044,8,11.7
P-2044,9,15.1
P-2044,10,15.4
P-2044,11,17.9
P-2044,12,20.1
P-2044,13,18.6
P-2044,14,24.4
P-2044,15,20.5
P-2044,16,18.7
P-2044,17,14.5
P-2044,18,17.0
P-2044,19,15.7
P-2044,20,18.2
P-2044,21,16.6
P-2044,22,12.6
P-2044,23,17.0
P-2044,24,19.5
P-2044,25,22.8
P-2045,0,13.6
P-2045,1,22.8
P-2045,2,19.8
P-2045,3,22.5
P-2045,4,24.4
P-2045,5,19.0
P-2045,6,14.5
P-2045,7,22.0
P-2045,8,20.0
P-2045,9,16.1
P-2045,10,19.2
P-2045,11,16.9
P-2045,12,19.7
P-2045,13,20.5
P-2045,14,21.1
P-2045,15,23.5
P-2045,16,18.7
P-2045,17,20.4
P-2045,18,20.6
P-2045,19,23.5
P-2045,20,14.0
P-2045,21,18.4
P-2045,22,19.2
P-2045,23,13.2
P-2045,24,21.2
P-2045,25,24.0
P-2046,0,12.1
P-2046,1,14.6
P-2046,2,12.9
P-2046,3,15.0
P-2046,4,14.7
P-2046,5,10.1
P-2046,6,16.1
P-2046,7,13.8
P-2046,8,10.0
P-2046,9,8.5
P-2046,10,11.5
P-2046,11,11.9
P-2046,12,13.5
P-2046,13,14.4
P-2046,14,15.8
P-2046,15,17.9
P-2046,16,16.1
P-2046,17,12.5
P-2046,18,15.8
P-2046,19,15.3
P-2046,20,17.3
P-2046,21,9.4
P-2046,22,12.2
P-2046,23,8.9
P-2046,24,14.8
P-2046,25,14.0
P-2047,0,5.6
P-2047,1,8.7
P-2047,2,7.7
P-2047,3,5.9
P-2047,4,7.8
P-2047,5,6.5
P-2047,6,6.0
P-2047,7,6.1
P-2047,8,5.9
P-2047,9,3.8
P-2047,10,4.7
P-2047,11,4.7
P-2047,12,6.4
P-2047,13,6.2
P-2047,14,6.9
P-2047,15,6.7
P-2047,16,6.7
P-2047,17,7.9
P-2047,18,7.8
P-2047,19,5.2
P-2047,20,4.3
P-2047,21,2.6
P-2047,22,3.6
P-2047,23,4.6
P-2047,24,4.7
P-2047,25,5.4
P-2048,0,11.6
P-2048,1,14.2
P-2048,2,13.7
P-2048,3,12.8
P-2048,4,13.0
P-2048,5,15.4
P-2048,6,12.9
P-2048,7,13.7
P-2048,8,18.3
P-2048,9,11.0
P-2048,10,10.2
P-2048,11,15.7
P-2048,12,12.8
P-2048,13,13.7
P-2048,14,12.9
P-2048,15,14.0
P-2048,16,17.8
P-2048,17,16.2
P-2048,18,16.3
P-2048,19,11.6
P-2048,20,12.1
P-2048,21,8.7
